budget,genre,gross_usa,rating_count,rating_score
0," Crime, Drama, Mystery, Thriller",46808,30580,8.4
30000000," Animation, Adventure, Comedy, Family, Fantasy",222498679,860710,8.3
32000000," Adventure, Drama, Thriller, War",11487676,225288,8.3
550000000," Comedy, Drama",6532874,329898,8.4
72000000," Biography, Drama, History, War",75609945,938743,8.3
15000000, Drama,130096601,1045485,8.3
175000000," Animation, Adventure, Family, Fantasy, Music, Mystery",209726015,348149,8.4
370000000," Animation, Drama, Fantasy, Romance",5017246,175252,8.4
18500000," Action, Adventure, Sci-Fi, Thriller",85160248,636902,8.3
356000000," Action, Adventure, Drama, Sci-Fi",858373000,743700,8.4
2000000," Drama, Mystery, Thriller",11286112,347902,8.4
55000000," Crime, Drama, Thriller",335451311,834343,8.5
2000000," Comedy, Drama, War",0,196219,8.4
18000000," Action, Adventure",248159971,861978,8.4
9000000," Mystery, Thriller",25544867,1093305,8.4
31500000," Drama, Mystery, War",83471511,587900,8.4
11000000," Horror, Sci-Fi",81765459,765127,8.4
1000000," Mystery, Thriller",36764313,430093,8.4
5000000, Drama,12397210,221440,8.5
950000," Drama, Romance, War",4108411,507697,8.5
5000000, Western,0,293480,8.5
3700000," Animation, Drama, War",516962,223348,8.5
40000000," Drama, Mystery, Sci-Fi, Thriller",53089891,1148592,8.5
3300000," Drama, Music",13092000,686184,8.5
9500000," Biography, Comedy, Drama",10198820,733250,8.5
90000000," Crime, Drama, Thriller",132384315,1154339,8.5
1500000," Comedy, Drama, Romance",19181,161513,8.5
103000000," Action, Adventure, Drama",187705427,1301992,8.5
806947," Horror, Mystery, Thriller",32000000,583289,8.5
1500000," Comedy, Drama, Family, Romance",163577,209895,8.5
20000000, Drama,6719864,1009770,8.5
102000000," Action, Sci-Fi",205881154,971060,8.5
35000000," Biography, Drama, Music, War",32572577,704161,8.5
19000000," Adventure, Comedy, Sci-Fi",211159762,1021033,8.5
45000000," Animation, Adventure, Drama, Family, Musical",422783777,912964,8.5
0," Action, Drama, Mystery",0,36296,8.7
6000000," Crime, Mystery, Thriller",23341568,964504,8.5
115000000," Action, Crime, Drama, Thriller",19501238,1002734,8.5
165000000," Adventure, Drama, Sci-Fi, Thriller",188020017,1437468,8.6
60000000," Crime, Drama, Fantasy, Mystery",136801374,1106484,8.6
11400000," Comedy, Drama, Thriller",53369749,454143,8.6
19000000," Animation, Adventure, Family, Fantasy, Mystery",13750644,621857,8.6
70000000," Drama, War",217049603,1198110,8.6
11000000," Action, Adventure, Fantasy, Sci-Fi",460998507,1199878,8.6
0," Biography, Drama, History, Musical",0,29621,8.8
3180000," Drama, Family, Fantasy",0,386551,8.6
19000000," Crime, Drama, Thriller",130742922,1227770,8.6
3300000," Crime, Drama",7564459,683550,8.6
20000000," Comedy, Drama, Romance, War",57563264,602489,8.6
33000000," Crime, Drama, Mystery, Thriller",100125643,1394837,8.6
125000000," Action, Adventure, Drama",318649,306245,8.6
3000000, Drama,108981275,887219,8.7
25000000," Biography, Crime, Drama",46836214,986196,8.7
63000000," Action, Sci-Fi",171479930,1624603,8.7
94000000," Action, Adventure, Drama, Fantasy",342551365,1443879,8.7
18000000," Action, Adventure, Fantasy, Sci-Fi",290882960,1127697,8.7
160000000," Action, Adventure, Sci-Fi, Thriller",292576195,1989076,8.8
55000000," Drama, Romance",330455270,1746857,8.8
63000000, Drama,37030102,1799523,8.8
93000000," Action, Adventure, Drama, Fantasy",315544750,1613400,8.8
1200000, Western,25100000,669235,8.8
8000000," Crime, Drama",107928762,1772509,8.9
94000000," Action, Adventure, Drama, Fantasy",377845905,1597891,8.9
22000000," Biography, Drama, History",96898818,1177492,8.9
350000," Crime, Drama",0,664497,8.9
185000000," Action, Crime, Drama, Thriller",535234033,2231056,9.0
